t 	theta	errort	     errortheta
600	-0.949	0.01		0.004
720	-0.954	0.01		0.005
840	-0.957	0.01		0.005
960	-0.964	0.01		0.005
1080	-0.970	0.01		0.005
1200	-0.975	0.01		0.005
1320	-0.978	0.01		0.006
1440	-0.984	0.01		0.006
1560	-0.989	0.01		0.006
1680	-0.993	0.01		0.006
1800	-1.000	0.01		0.007
1920	-1.005	0.01		0.007
2040	-1.010	0.01		0.007
2160	-1.015	0.01		0.007
2280	-1.020	0.01		0.007
2400	-1.027	0.01		0.008
2520	-1.031	0.01		0.008
2640	-1.036	0.01		0.008
2760	-1.041	0.01		0.008
2880	-1.049	0.01		0.007
3000	-1.053	0.01		0.009
3120	-1.059	0.01		0.009
3240	-1.061	0.01		0.010
3360	-1.064	0.01		0.010
