Temp    	Resist	 errorTemp   errorResist
274.3   15.56	 0.1	    0.01
278.0   12.90   0.1     0.01
283.0   10.25   0.1     0.01
288.0   8.44    0.1     0.01
293.0   6.40    0.1     0.01
298.0   5.30    0.1     0.01
303.0   4.30    0.1     0.01
308.0   3.60    0.1     0.01
313.0   2.95    0.1     0.01
318.0   2.43    0.1     0.01
323.0   2.01    0.1     0.01
328.0   1.675   0.1     0.001
333.0   1.390   0.1     0.001
338.0   1.172   0.1     0.001
343.0   0.988   0.1     0.001
348.0   0.825   0.1     0.001
353.0   0.700   0.1     0.001
358.0   0.609   0.1     0.001
363.0   0.517   0.1     0.001
366.7   0.484   0.1     0.001

