Temp		fem	err_Temp	err_fem
24.0		0.21		0.1		0.01
28.5		0.30		0.1		0.01
33.5		0.37		0.1		0.01
38.5		0.42		0.1		0.01
43.5		0.48		0.1		0.01
48.5		0.52		0.1		0.01
53.5		0.56		0.1		0.01
58.5		0.61		0.1		0.01
63.5		0.65		0.1		0.01
65.0		0.70		0.1		0.01
74.0		0.74		0.1		0.01
79.0		0.78		0.1		0.01
84.0		0.82		0.1		0.01
87.0		0.86		0.1		0.01
92.0		0.89		0.1		0.01
99.0		0.93		0.1		0.01
101.0	0.97		0.1		0.01
106.0	1.00		0.1		0.01
111.0	1.05		0.1		0.01
115.0	1.08		0.1		0.01
120.0	1.12		0.1		0.01
125.0	1.15		0.1		0.01
129.0	1.18		0.1		0.01
134.0	1.22		0.1		0.01
139.0	1.25		0.1		0.01
143.0	1.28		0.1		0.01
148.0	1.31		0.1		0.01
152.0	1.35		0.1		0.01
157.0	1.37		0.1		0.01
162.0	1.39		0.1		0.01
166.0	1.42		0.1		0.01
171.0	1.45		0.1		0.01
175.0	1.48		0.1		0.01
180.0	1.50		0.1		0.01
184.5	1.52		0.1		0.01
189.0	1.55		0.1		0.01
193.5	1.57		0.1		0.01
198.0	1.59		0.1		0.01
202.5	1.60		0.1		0.01
207.0	1.62		0.1		0.01
211.5	1.64		0.1		0.01
216.0	1.65		0.1		0.01
220.5	1.65		0.1		0.01
225.0	1.67		0.1		0.01
229.5	1.67		0.1		0.01
234.0	1.68		0.1		0.01
238.5	1.68		0.1		0.01
243.0	1.69		0.1		0.01
247.5	1.68		0.1		0.01
252.0	1.69		0.1		0.01
256.5	1.68		0.1		0.01
261.0	1.67		0.1		0.01
265.5	1.67		0.1		0.01
270.0	1.67		0.1		0.01
274.5	1.65		0.1		0.01
279.0	1.65		0.1		0.01
283.5	1.63		0.1		0.01
288.0	1.63		0.1		0.01
292.5	1.61		0.1		0.01
297.0	1.59		0.1		0.01
301.5	1.57		0.1		0.01
306.0	1.55		0.1		0.01
310.5	1.53		0.1		0.01
315.0	1.50		0.1		0.01
319.5	1.48		0.1		0.01
324.0	1.44		0.1		0.01
328.5	1.43		0.1		0.01
333.0	1.39		0.1		0.01
337.5	1.35		0.1		0.01
342.0	1.34		0.1		0.01
346.5	1.27		0.1		0.01
351.0	1.25		0.1		0.01
355.5	1.20		0.1		0.01
360.0	1.16		0.1		0.01
365.0	1.16		0.1		0.01
369.0	1.04		0.1		0.01
374.0	1.03		0.1		0.01
378.0	1.04		0.1		0.01
383.0	1.00		0.1		0.01
